End Date,NewDate,Please indicate your relevant fields or disciplines.��Check all that apply.,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,What is your current status? Check all that apply.,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,What operating system is on the computer you are bringing to the workshop?,How often do you currently use any of the following?,Column24,Column25,Column26,"Please rate your level of satisfaction with your current data management and analysis workflow (i.e. how you collect, organize, store and analyze your data).",Why are you attending this workshop? Check all that apply.,Column27,Column28,Column29,Column30,How did you find out about this workshop? Check all that apply.,Column31,Column32,Column33,Column34,Column35,Column36,Which of the following programming languages��is being covered in your workshop?,Please rate your level of agreement with the following statements:,Column37,Column38,Column39,Column40,Column41,Please share what you most hope to learn from attending this workshop.,In what country is your workshop being held?,With��what gender do you most identify?,Column42,How would you describe yourself? Choose one or more of the following groups.,Column43,Column44,Column45,Column46,Column47,Column48,Column49
,,Agricultural or Environmental Sciences,Bioinformatics/Genomics,Biomedical/Health Sciences,Business/Economics,Computer Science,Earth Sciences,Engineering,Humanities,Library Sciences,Life��Sciences,Mathematics or Statistics,Physical Sciences,Social Sciences,Other (please specify),Undergraduate Student,Graduate Student,Postdoctoral Researcher,Faculty,Industry Employee,Government Employee,Research Staff,Management/Administrator,Retired/Not Employed,Other (please specify),Response,"Programming languages (R, Python, etc.)","Databases (SQL, Access, etc.)","Version control software (Git, Mercurial, etc.)",The��Unix Shell,Response,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,As a requirement for my program/current position,Other (please specify),Received an email about the workshop,Read about it in a newsletter or university web site,Twitter or other social media,Other web site,My advisor/supervisor told me about it,My friend/colleague told me about it,Other (please specify),Response,"Having access to the original, raw data is important to be able to repeat an analysis.",I can write a small program/script/macro to solve a problem in my own work.,I know how to search for answers to my technical questions online.,"While working on a programming project, if I get stuck, I can find ways of overcoming the problem.",I am confident in my ability to make use of programming languages��to work with data.,Using a programming language (like R or Python) can make my analyses easier to reproduce.,Open-Ended Response,Response,Response,Not listed��(please specify),"American Indian or Alaska Native(A person having origins in any of the original peoples of North and South America (including Central America), and who maintains a tribal affiliation or community attachment.)","Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",Black or African American(A person having origins in any of the Black racial groups of Africa ��� includes Caribbean Islanders and others of African origin.),Hispanic or Latino(a)(A person of Spanish-speaking origin or ancestry and/or Latin American origin or ancestry ��� includes Portuguese and Brazilians.),"Native Hawaiian or Other Pacific Islander(A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.)","White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",I prefer not to say.,Other (please specify)
12/29/17 9:30,2017-12,,,,,,,,Humanities,,,,,,,,,,,,Government Employee,,,,,Windows,Monthly,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,Neither,Strongly agree,Disagree,Agree,Agree,Agree,Agree,,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/26/17 19:32,2017-12,,,,,,Earth Sciences,,,,,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Less than once per year,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,R,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Neutral,,United States of America,Transgender female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/25/17 15:17,2017-12,,,,,,,,,,,,,Social Sciences,,,,,,Industry Employee,,,,,,Apple/Mac OS,Several times per year,Several times per year,Several times per year,Several times per year,Neutral,,To learn skills that I can apply to my work in the future,,,,,Read about it in a newsletter or university web site,,,,,,R,,,,,,,,,,,,,,,,,,
12/21/17 19:20,2017-12,,,Biomedical/Health Sciences,,,,,,,Life��Sciences,,,,Neuroscience,,Graduate Student,,,,,,,,,Apple/Mac OS,Several times per year,Less than once per year,Less than once per year,Several times per year,Very unsatisfied,To learn skills that I can apply to my current work,,,,To gain confidence to learn more.,,,,,,,Nature article,Python,Strongly agree,Disagree,Agree,Neutral,Disagree,Strongly agree,"I hope to be able to learn not only to write code, but to organize it so that I can use a script more than once. I hope to learn to better organize my data to make it compatible with my scripts.",United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/20/17 9:25,2017-12,,,,,,,,,,,,,,wildlife ecology,,Graduate Student,,,,,,,,,Windows,Weekly,Weekly,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,,,My friend/colleague told me about it,,R,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Strongly agree,"I hope to learn how to organize, utilize my data and manipulate my data in R.",United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/19/17 4:57,2017-12,,,,,,,,,,Life��Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Apple/Mac OS,Never,Several times per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Strongly agree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly agree,R basics and be able to apply this to the analysis of genomic sequencing data,Germany,,,,,,,,,,
12/19/17 3:40,2017-12,,Bioinformatics/Genomics,Biomedical/Health Sciences,Business/Economics,Computer Science,,,,,Life��Sciences,Mathematics or Statistics,,,,,,,,Industry Employee,,,,,,Not sure,Daily,Less than once per year,Less than once per year,Weekly,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,Other web site,,,,R,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,"Project Management and data organization are the things I want to learn, right in the beginning of my programming career and an intensive introduction into R can�t hurt either.",Germany,,,,,,,,,,
12/18/17 5:29,2017-12,,,,,,,,,,,Mathematics or Statistics,,,,,,,Faculty,,,,,,,Windows,Daily,Less than once per year,Less than once per year,Less than once per year,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/18/17 4:51,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
