Start Date,End Date,ID,Domain,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Status,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,OS,Programming-Usage,Data-Satisfaction,Why-Attending,Column23,Column24,Column25,Column26,Exposure-Workshop,Column27,Column28,Column29,Column30,Column31,Column32,Language-Covered,Spreadsheet-Rules-R,Column33,Column34,Column35,Column36,Data-Structure-R,Read-Data-R,Read-Data-Reasoning-R,Check-Data-R,Column37,Column38,Column39,Plotting-R,Plotting-Reasoning-R,Column40,Column41,Column42,Spreadsheet-Rules-Python,Column43,Column44,Column45,Column46,Data-Structure-Python,Read-Data-Python,Read-Data-Reasoning-Python,Check-Data-Python,Column47,Column48,Column49,Plotting-Python,Plotting-Reasoning-Python,Column50,Column51,Column52,Raw-Data,Write-Program,Search-Answers,Overcome-Problem,Programming-Confidence,Programming-Reproducible,Hope-To-Learn
10/20/2017 07:38:26 AM,10/20/2017 07:47:05 AM,1dealg,,,,,,,,Humanities,,,,,Social Sciences,,,,,Faculty,,,,,,Windows,I have never used these tools,Very unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2017 04:01:29 AM,10/20/2017 05:12:08 AM,0ampie,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,GNU/Linux,Several times a year,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,C,Options A and C will both work.,"will work, the data is a csv file with headers",,,Type the name of the data frame to display the whole dataset.,,"C: ggplot(df, aes(x, y))","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,
10/20/2017 04:53:22 AM,10/20/2017 05:26:18 AM,4maste,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,,,,,,Research Staff,,,Windows,Less than once a year,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,As a requirement for my program/current position,,Received an email about the workshop,,,,My advisor/supervisor told me about it,My friend/colleague told me about it,,I don't know/I don't remember,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,"Hope to learn how to usefully collect, clean and prepare data. Good library learning, compatibility with other platforms, to have a good online community for problem solving with others specifically in biological data analysis.  "
10/20/2017 04:19:13 AM,10/20/2017 04:36:00 AM,2masig,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,Windows,Less than once a year,Very unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,,,Leave the raw data raw and make edits to a copy of the data.,,C,A: contacts <- read.csv(“data.txt”),"will work, the data is a csv file with headers",,Use the head() function to see the last few lines of the data.,,,"C: ggplot(df, aes(x, y))","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Neutral,Disagree,Strongly agree,use R for data analysis
10/20/2017 03:46:48 AM,10/20/2017 03:53:09 AM,2kldor,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,Windows,I have never used these tools,Neutral,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly disagree,Agree,Neutral,Disagree,Strongly agree,"A general knowledge on working with big data sets and what can be done with it, in a biological aspects. "
10/19/2017 07:06:20 AM,10/19/2017 07:21:32 AM,1gephe,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,,,,,,,Graduate Student,,,,,,,,Windows,Several times a year,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,My friend/colleague told me about it,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,
10/19/2017 05:38:42 AM,10/19/2017 05:56:05 AM,4ibmol,Agricultural or Environmental Sciences,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,Windows,I have never used these tools,Not sure,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,As a requirement for my program/current position,,Received an email about the workshop,,,,,My friend/colleague told me about it,,I don't know/I don't remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Agree,I hope to acquire the requisite skills to analyze my data and to utilize available instruments for data processing and management
10/19/2017 05:14:59 AM,10/19/2017 06:36:04 AM,2prris,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,Other Staff,,Windows,Less than once a year,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,,,Leave the raw data raw and make edits to a copy of the data.,,B,"Options A, B and D will all work.","will work, the data is a csv file with headers",Use the str() function to see information about the data.,,,,"C: ggplot(df, aes(x, y))","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,
10/19/2017 05:11:43 AM,10/19/2017 05:18:24 AM,5thlun,,,,,,,,,,Life Sciences,,,,Zoology,,Graduate Student,,,,,,,,Windows,I have never used these tools,Unsatisfied,To learn skills that I can apply to my current work,,,,,,,,,My advisor/supervisor told me about it,,,I don't know/I don't remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2017 03:23:39 AM,10/19/2017 05:04:32 AM,4kiklo,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,,Postdoctoral Researcher,,,,,,,Windows,Several times a year,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,"I have had previous exposure to similar workshops, but find myself struggling every here and there to grasp concepts of computer language. I hope to improve it a bit more to an extent where I can do independent training for my research-specific needs."
10/19/2017 04:05:07 AM,10/19/2017 04:17:35 AM,1pokli,,Bioinformatics/Genomics,,,,,,,,,,,,,,Graduate Student,,,,,,,,Windows,Monthly,Very unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,,,C,C: contacts <- read.table(“data.txt”),"will NOT work, the data isn’t a csv file",Use the str() function to see information about the data.,,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,"C: ggplot(df, aes(x, y))","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Strongly agree,Advanced methods of data analysis
