Workshop,ID,ToolCovered,RawData,WriteProgram,TechnicalQuestions,OvercomeProblem,ConfidenceSoftware,ProgrammingEasier,ImmediatelyApply,ComfortableLearning,ConfidentProgramming,ProgrammingEfficient,AccessibilityIssues,InstructorsClear,InstructorsEnthusiastic,InstructorsComfortable,InstructorsKnowledgeable,Recommend,Country
I don’t know.,2elfif,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90,United States of America
I don’t know.,2scbar,R,Strongly agree,Disagree,Agree,Neutral,Disagree,Strongly agree,Disagree,Agree,Neutral,Strongly agree,No,Agree,Strongly agree,Strongly agree,Agree,68,Canada
Ecology,1grcro,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,No,Strongly agree,Agree,Strongly agree,Strongly agree,90,United States of America
Ecology,2gr4th,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Agree,Strongly agree,Agree,Agree,65,United States of America
Ecology,,,,,,,,,,,,,,,,,,,
Ecology,3grder,R,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,1grchi,R,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,1irhei,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,1tochr,R,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Canada
Reproducible Research,2otwat,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,No,,,,,,
I don’t know.,1kibus,R,,,,,,,,,,,,,,,,,
Social Sciences,1ximai,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Canada
,1kobon,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Canada
Ecology,1bunor,R,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Canada
Ecology,1hacli,R,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Agree,100,Canada
Genomics,,,,,,,,,,,,,,,,,,,
Genomics,0zibor,Neither,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,No,Agree,Agree,Agree,Agree,90,Netherlands
