Year,Month,UniqueID,Discipline,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,DisciplineOther,Status,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,StatusOther,OS,CurrentProgramming,CurrentDatabases,CurrentVersionControl,CurrentShell,CurrentSatisfaction,WhyAttending,Column27,Column28,Column29,WhyAttendingOther,Exposure,Column31,Column32,Column33,Column34,Column35,ExposureOther,ProgrammingLanguageCovered,RawData,WriteScript,SearchOnline,OvercomeProblem,ProgrammingSoftware,AnalysesEasier,HopeToLearn,Country,Gender,GenderOther,Race,Column43,Column44,Column45,Column46,Column47,Column48,RaceOther
2018,01,0cene2,Agricultural or Environmental Sciences,,,,,,,,,Life Sciences,,,,,,,,,,Government Employee,,,,,Windows,Less than once per year,Several times per year,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,R,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,,United States of America,Female,,,,,,,White,,
2018,01,2sawin,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Monthly,Several times per year,Never,Several times per year,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Strongly agree,Agree,Agree,Agree,Neutral,Agree,,United States of America,Female,,,,,,Native Hawaiian or Other Pacific Islander,,,
2018,01,1gebri,,,,,,,,,,,Mathematics or Statistics,,,Physics,Undergraduate Student,,,,,,,,,,Windows,Weekly,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,R,Neutral,Agree,Neutral,Agree,Disagree,Agree,"As much as possible about R and how to store data, I am a pretty new programmer so hopefully I can learn more.",United States of America,Male,,,Asian,,,,,,
2018,01,8hcfif,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Daily,Several times per year,Several times per year,Never,Not sure,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Agree,Agree,Strongly agree,Agree,Agree,Agree,"Better data management skills, improved coding skills",United States of America,Female,,,,Black or African American,,,,,
2018,01,3chunv,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,,,,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,R,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Data management and statistical analysis using R,United States of America,Male,,,Asian,,,,,,
2018,01,0orcou,,,,,,,Engineering,,,,,,,,Undergraduate Student,,,,,,,,,,Windows,Several times per year,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,Twitter or other social media,,,,,R,Neutral,Neutral,Agree,Neutral,Neutral,Agree,,United States of America,Male,,,,,,,White,,
2018,01,7kauni,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,Several times per year,Never,Never,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,I don't know/I don't remember,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,"data management and R, Python",United States of America,Male,,,,,,,,,Afghanistan
2018,01,0megem,,,,,,,,Humanities,,,Mathematics or Statistics,,,,Undergraduate Student,,,,,,,,,,Windows,Weekly,Never,Never,Never,Not applicable,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,Twitter or other social media,,,,UF Statistics Club,R,Neutral,Disagree,Agree,Disagree,Strongly disagree,Agree,Basic knowledge of R that I can use in future statistics classes or my future career,United States of America,Female,,,,,,,White,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,1woyek,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Less than once per year,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,,,,,,,,,,My friend/colleague told me about it,,R,Strongly agree,Disagree,Neutral,Disagree,,Strongly agree,Data Analysis,Ethiopia,,,,,,,,,,
2018,01,1stalv,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,,,,,,Research Staff,,,,Apple/Mac OS,Never,Monthly,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Strongly disagree,Agree,Disagree,Disagree,Neutral,A new skill!,United States of America,Female,,,,,,,White,,
2018,01,2sekea,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,,,,Industry Employee,,Research Staff,,,,Windows,Several times per year,Less than once per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,As a requirement for my program/current position,,Received an email about the workshop,,,,,,,R,Strongly agree,Strongly disagree,Agree,Neutral,Disagree,Strongly agree,,United States of America,Female,,,Asian,,,,,,
2018,01,1dovon,,Bioinformatics/Genomics,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Apple/Mac OS,Weekly,Never,Monthly,Weekly,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,more confidence in daily work with R,Germany,,,,,,,,,,
2018,01,2luhig,,,,,,,,Humanities,,,,,Social Sciences,,,Graduate Student,,Faculty,,,,,,,Windows,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,Other web site,,,,R,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,"I've tried to learn a programming language online a few times and find myself overwhelmed by week 2! I'm hoping that a physically present human, and the presence of other humans might help me a little further down the road. I'd like an initial understanding of R and perhaps some sense of how I can use it to speed up and make more reliable my working with quantitative data.",South Africa,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,3blgas,,,,,,,,,,Life Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Apple/Mac OS,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,,,My friend/colleague told me about it,,R,Strongly agree,Strongly disagree,Agree,Neutral,Strongly disagree,Neutral,Learn some tools for managing small and large data organization or analysis problems. ,Germany,,,,,,,,,,
