End Date,NewDate,When are you taking this survey?,Will this be your first time attending a Data Carpentry workshop (as a learner)?,Which of the following describes your current status?,Column2,Are you age 18 or above?,"Your department or division (e.g. Microbiology and Molecular Genetics, Environmental Engineering, Sociology, etc):",Your research discipline,Column3,"In three sentences or less, please describe your current field of work or research question.",What operating system is on the computer you are bringing to the workshop?,"Will you be attending the workshop with colleagues, friends, or classmates?","How often to you currently use programming languages (R, Python, etc.) or databases (Access, SQL, etc.)?",What tools do you frequently use to manage and/or analyze data? Check all that apply.,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Do you currently have a dataset that you would like to analyze?,Please enter your level of satisfaction with your current:,Column14,Please rate your level of agreement with the following statements:,Column15,Column16,Column17,Please share what you most hope to learn from attending this workshop.,Does this workshop take place in the United States?,Your age,Your gender,Column18,Race/Ethnicity,Column19
,,Response,Response,Response,Other (please specify),Response,Open-Ended Response,Response,Other (please specify),Open-Ended Response,Response,Response,Response,Access,Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,SQL,R,Python,MATLAB,Open Refine,the command line (shell),Not sure,Other (please specify),Response,Data management strategy,Data analysis workflow,Data organization is a fundamental component of effective and reproducible research.,Using a scripting language like R or Python can ultimately improve my analysis efficiency,Using R or Python makes analyses easier to reproduce,"A value of using SQL, R or Python is that the underlying data cannot accidentally be changed",Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify)
10/25/17 3:31,2017-10,I am taking this survey before coming to the workshop,Yes,Other (please specify),Intern,Yes,Division of Research Development,Administration,,Grants management and administration,Not sure,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/17 5:54,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/17 5:19,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/17 5:04,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/17 10:13,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/17 0:50,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/17 9:38,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/17 9:10,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/17 8:43,2017-10,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,drd,Administration,,gg,Windows,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/17 5:12,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/17 2:17,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/17 17:52,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/17 15:22,2017-10,I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/17 4:15,2017-10,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
