Year,WhenTaking,InformationReasonableTime,AtmosphereWelcoming,LearnedSkills,Material,Recommend,Worth,Pace,HandsOn,TrainersClearAnswers,TrainersConsiderate,TrainersCommunicators,TrainersEnthusiastic,CommentsAboutTrain,NewInformation,AssessmentPre,FeedbackPre,NovicePre,MemoryPre,CognitiveLoadPre,CarpentriesPre,MotivationPre,BackwardsDesignPre,CognitionPre,AssessmentPost,FeedbackPost,NovicePost,MemoryPost,CognitiveLoadPost,CarpentriesPost,MotivationPost,BackwardsDesignPost,CognitionPost,AssessmentMotivation,FeedbackMotivation,NoviceMotivation,MemoryMotivation,CognitiveLoadMotivation,CarpentriesMotivation,Motivation,BackwardsDesignMotivation,CognitionMotivation,LiveCodingBefore,LiveCodingAfter,WebsiteBefore,WebsiteAfter,ConceptMapsBefore,ConceptMapsAfter,MCQBefore,MCQAfter,LearningObjectivesBefore,LearningObjectivesAfter,CompleteTraining,CompleteTrainingOther,Position,PositionOther,Domain,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,DomainOther,WorkshopLocation,Race,RaceOther,Gender,LikelyToRecommend,BestPartComments,ImprovingComments
2018,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Slightly slow,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,,Some of it,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,No increase in my knowledge,Knowledge increased slightly,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,Yes,Confidence increased slightly,No,Confidence increased a bit,No,No change in confidence,Yes,Confidence increased slightly,No,Confidence increased slightly,"Yes, I understand",,Graduate Student,,,,Economics/business,,,,,,,,,,,,Social sciences,,,Yes,Prefer not to say,,Prefer not to say,8,,
2018,"I have just completed the training, and am taking it at the event",Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Too slow,Too much lecture,Sometimes,All of the time,Often,Often,They were overall pretty good!,Some of it,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Knowledge increased slightly,No increase in my knowledge,No increase in my knowledge,No increase in my knowledge,No increase in my knowledge,Knowledge increased a great deal,No increase in my knowledge,No increase in my knowledge,No increase in my knowledge,More motivated,No change in motivation,No change in motivation,No change in motivation,No change in motivation,Much more motivated,No change in motivation,No change in motivation,No change in motivation,Maybe,No change in confidence,Yes,Confidence increased slightly,Maybe,No change in confidence,No,Confidence increased a bit,Maybe,Confidence increased slightly,"Yes, I understand",,Graduate Student,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,Mathematics/statistics,,,,,,,,Yes,White,,Male,7,The discussion of the carpentries infrastructure and organization was great but it seemed odd that this was done at the END of the two day workshop when everyone was tired/burnt-out.,I think this could have been shorter? There was a lot of lecturing and exercises that seemed only marginally beneficial. I think hands-on practice for giving lessons and direct observation were MUCH more useful than abstract discussion of concept maps. Overall I honestly think that this instructor training would benefit substantially from streamlining.
2018,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Just right,Slightly too much lecture,Often,All of the time,Often,All of the time,,Most of it,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,No increase in my knowledge,No increase in my knowledge,No increase in my knowledge,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,No increase in my knowledge,More motivated,More motivated,More motivated,No change in motivation,No change in motivation,More motivated,More motivated,More motivated,More motivated,Maybe,Confidence increased greatly,No,Confidence increased greatly,Maybe,Confidence increased greatly,No,Confidence increased slightly,Maybe,Confidence increased a bit,"Yes, I understand",,Research staff (including research programmer),,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,Mathematics/statistics,,,,,,,,Yes,White,,Male,10,,
2018,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Instructors maintained high energy throughout the training,Some of it,Little or no knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,No increase in my knowledge,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,No change in motivation,No change in motivation,No change in motivation,Yes,Confidence increased slightly,No,Confidence increased greatly,No,No change in confidence,No,Confidence increased a bit,Maybe,Confidence increased a bit,"Yes, I understand",,Support staff (including technical support),,,,,,,Humanities,,,Library and information science,,,,,,,,Software engineering,Yes,Asian,,Female,8,Practicing live coding and receiving immediate feedback,"Moving discussion about teaching in diverse classrooms should be moved to earlier in the program. Discussion happened towards the end of this training event, when most people were already disengaged. "
2018,"I have just completed the training, and am taking it at the event",Agree,Agree,Agree,Agree,Agree,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,,Some of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Extensive knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Yes,Confidence increased a bit,Maybe,Confidence increased slightly,Maybe,Confidence increased slightly,Yes,Confidence increased slightly,Yes,Confidence increased slightly,"Yes, I understand",,Support staff (including technical support),,Chemistry,,,,High performance computing,,,,,,,Physics,,,,,,No,,,,8,,
2018,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,,Some of it,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,More motivated,More motivated,No change in motivation,More motivated,More motivated,More motivated,More motivated,Much more motivated,More motivated,Yes,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased slightly,Maybe,Confidence increased greatly,Yes,Confidence increased a bit,"Yes, I understand",,Support staff (including technical support),,,,,,,,,,,,,,,,,,Geography,Yes,White,,Male,10,"I like the formatting of the workshop materials. Use of Etherpad is something I will do, too",more convenient break out room locations. Those who left had a significantly shorter period of time to complete tasks. 
2018,"I have just completed the training, and am taking it at the event",Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly fast,Slightly too much hands-on,Often,Often,Often,All of the time,,Most of it,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased a great deal,N/A - Not covered at this workshop,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,N/A - Not covered at this workshop,Knowledge increased a great deal,Knowledge increased a great deal,More motivated,More motivated,More motivated,Much more motivated,Much more motivated,More motivated,More motivated,More motivated,More motivated,Yes,Confidence increased slightly,Yes,Confidence increased slightly,Yes,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased greatly,Could use some more details,,Graduate Student,,,,,,,,,,,,,,,,Social sciences,,,Yes,Hispanic or Latino(a),,Male,7,Use of research on learning,"Venue was not completely adequate, for example, it needed more outlets to plug laptops"
2018,"I have just completed the training, and am taking it at the event",Agree,Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),Often,Often,Often,Often,,About half of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,No change in motivation,More motivated,No change in motivation,More motivated,More motivated,More motivated,No change in motivation,No change in motivation,No change in motivation,Yes,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased slightly,Yes,Confidence increased slightly,Yes,Confidence increased slightly,"Yes, I understand",,Graduate Student,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,Yes,White,,Female,10,,"Now that we are leaving the event, I'm finding what we have to do after a bit confusing. I think it would be more helpful to just come back for another half day and do it all together because our mind is already focused on this training."
2018,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Very well prepared. ,About half of it,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,No increase in my knowledge,Knowledge increased a great deal,No increase in my knowledge,Knowledge increased a great deal,No change in motivation,More motivated,No change in motivation,More motivated,More motivated,No change in motivation,More motivated,No change in motivation,More motivated,Yes,Confidence increased a bit,No,Confidence increased a bit,Yes,Confidence increased a bit,Yes,Confidence increased a bit,Yes,Confidence increased slightly,"Yes, I understand",,Librarian/archivist,,,,,,,,,,,,,,"Planetary sciences (geology, climatology, oceanography, etc.)",,,,,Yes,White,,Female,10,Instructors are so rarely trained in pedagogy. I love that the Carpentries focus so heavily on this. ,A couple of the hands-on activities could use a little polishing (e.g. one of the worksheets we used was unclear). Am looking forward to helping with this!
