FirstSurvey,Status,StatusOther,Field,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,FieldOther,NumWorkshops,TimeSinceWorkshop,WhichCarpentry,ContentCovered,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,ContentCoveredOther,Behaviors,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,BehaviorsOther,ProgrammingBefore,ProgrammingSince,ChangeInConfidence,HowToolsHelped,Column34,Column35,Column36,Column37,HowToolsHelpedOther,Writing,WritingResponse,OtherTopics,AdvanceCareer,MotivatedSeekKnowledge,AnalysesReproducible,ProfessionalRecognition,Column42,ImproveResearchProductivity,GainedConfidence,ImpactResponse,Country,Gender,Race,Column45,Column46,Column47,Column48,Column49,Column50,Involvement,Column51,Column52,Column53,Column54,Column55,Column56,Column57,InvolvementOther,ContinuousLearning,Column59,Column60,Column61,Column62,Column63,ContinousLearningOther,Recommended,LikelyToRecommend,OutcomesResponse,NotApplyingSkillsResponse,AdditionalCommentsResponse
Yes,Graduate Student,,,,,,,,,,,,,Social Sciences,,1,6 months - 1 year ago,Data Carpentry,,Git,,,,Python,,,SQL,,,,,,,,,Reusing code.,,,Sharing code or data publicly on places like GitHub or FigShare.,,I had not been using tools like these.,Several times per year.,I’m more confident now.,,,,,,Improve my confidence using computer code,No.,,,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,,United States of America,I prefer not to say.,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,,,,,,,,,,,,,Participated in a semester long course.,,,,Yes.,10,,,
Yes,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,,2,6 months - 1 year ago,Data Carpentry,,,,,,,R,,,,I don't remember.,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Weekly.,Daily.,I’m equally confident now.,,,,The tools I learned have not helped me with my work.,I am not using the tools I learned.,,No.,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,5,,"The course was too basic. Too varied. It should have maybe been better directed to the people attending, or split the people up.",
Yes,Graduate Student,,,Biomedical/Health Sciences,,,,,,,,,,,,1,0-6 months ago,Data Carpentry,,,,,,,R,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Several times per year.,Several times per year.,I’m more confident now.,,,They are improving my ability to manage data.,,,,No.,,Python ,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,,Norway,,,,,,,,,,,,,,,,,,,,,,,,,No.,7,,,
Yes,Postdoc,,Agricultural or Environmental Sciences,,,,,,,,,,,,,3+,0-6 months ago,Software Carpentry,,Git,,,,,R,,SQL,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,,,Monthly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,,,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,,Norway,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,9,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Undergraduate Student,,Agricultural or Environmental Sciences,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,Data Carpentry,Cloud Computing,Git,,,,,,,,Unix Shell,I don't remember.,,,,,Transforming step-by-step workflows into scripts or functions.,,,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Less than once per year.,Less than once per year.,I’m equally confident now.,,,,,I am not using the tools I learned.,,No.,,More Python,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Learned about different techniques to navigate a UNIX shell,United States of America,,,,,,,,I prefer not to say.,,,,,,,,,Kept documents and files related to workshop.,,,,Participated in a semester long course.,,,,No.,7,,"My work has not allowed me to utilize computing skills often, learned both in my semester course and Data Carpentry (I work in a microbiology lab)",
Yes,Undergraduate Student,,,,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,Data Carpentry,Cloud Computing,,,,,,,,,Unix Shell,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,I had not been using tools like these.,Daily.,I’m equally confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,I was able to see how to align sequences utilizing code and it prompted me to want to learn more so I am now taking courses to learn more large data set management and various types of coding. ,United States of America,Female,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,Subscribed to the newsletter.,,,,,,,,,,,,Participated in a semester long course.,Used self-guided Carpentry lesson material.,,,Yes.,10,,,
Yes,,Research Staff,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,6 months - 1 year ago,Data Carpentry,,,,,,,R,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Several times per year.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,,,,..but I don't use them anymore,Yes.,I used R in the analysis of data for a paper,,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,"The people at my department were very impressed that I learned R, and they gave me a good reference when I applied for a job and I got accepted for that job! Unforfunally I don't need R anymore, but the course defenetly helped for me to land this job!",Norway,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,8,,Got a job where I don't use statistics,
Yes,Graduate Student,,,Biomedical/Health Sciences,,,,,,,,,,,,1,6 months - 1 year ago,Data Carpentry,Cloud Computing,,,,,,R,,,Unix Shell,,,Improving data management and project organization.,,,,,,,,,,Weekly.,Weekly.,,,,They are improving my ability to manage data.,,,,No.,,,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,I don't remember.,5,,,
Yes,Academic Research Staff,,,Biomedical/Health Sciences,,,,,,,,,,,,3+,6 months - 1 year ago,Software Carpentry,,Git,,,,,,,SQL,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I’m more confident now.,,,They are improving my ability to manage data.,,,,Not sure.,,"More advanced use would be nice. I feel the workshops cover too little to actually make a real difference, at least to me.",Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,,Norway,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,8,,,
