slug,tag_name,month,year,day,attendance,fullname,administrator_id,country
2011-11-07-toronto,SWC,11,2011,07,22,University of Toronto,297,CA
2012-01-18-stsci,SWC,01,2012,18,14,Space Telescope Science Institute,173,US
2012-02-20-itcp,SWC,02,2012,20,50,International Centre for Theoretical Physics,306,IT
2012-02-23-toronto,SWC,02,2012,23,28,University of Toronto,297,CA
2012-03-07-indiana,SWC,03,2012,07,39,Indiana University,173,US
2012-03-26-mbari,SWC,03,2012,26,38,Monterey Bay Aquarium Research Institute,173,US
2012-03-28-nersc,SWC,03,2012,28,35,NERSC,173,US
2012-04-02-chicago,SWC,04,2012,02,35,University of Chicago,173,US
2012-04-14-utahstate,SWC,04,2012,14,32,Utah State University,173,US
2012-04-30-ucl,SWC,04,2012,30,44,University College London,278,GB
2012-05-07-michiganstate,SWC,05,2012,07,55,Michigan State University,173,US
2012-05-14-newcastle,SWC,05,2012,14,41,University of Newcastle,278,GB
2012-05-16-alberta,SWC,05,2012,16,38,University of Alberta,297,CA
2012-05-22-ubc,SWC,05,2012,22,39,University of British Columbia,297,CA
2012-06-18-jhu,SWC,06,2012,18,20,Johns Hopkins University,173,US
2012-06-28-inria,SWC,06,2012,28,28,INRIA (Paris),306,FR
2012-07-09-mit,SWC,07,2012,09,36,Massachusetts Institute of Technology,173,US
2012-07-10-ral,SWC,07,2012,10,24,Science & Technology Facilities Council,278,GB
2012-07-12-waterloo,SWC,07,2012,12,40,University of Waterloo,297,CA
2012-07-16-halifax,SWC,07,2012,16,40,Saint Mary's University,297,CA
2012-07-19-utsc,SWC,07,2012,19,39,University of Toronto (Scarborough),297,CA
2012-08-26-ttt-online,"TTT,online",08,2012,26,20,Software Carpentry,173,W3
2012-09-13-dafx,SWC,09,2012,13,33,DAFX Conference,278,GB
2012-09-17-oslo,SWC,09,2012,17,34,University of Oslo,306,NO
2012-09-28-columbia,SWC,09,2012,28,39,Columbia University,173,US
2012-10-08-purdue,SWC,10,2012,08,42,Purdue University,173,US
2012-10-11-ttt-online,"TTT,online",10,2012,11,25,Software Carpentry,173,W3
2012-10-17-lbl,SWC,10,2012,17,40,Lawrence Berkeley National Laboratory,173,US
2012-10-18-ubc,SWC,10,2012,18,62,University of British Columbia,297,CA
2012-10-20-ucb,SWC,10,2012,20,29,University of California Berkeley,173,US
2012-10-22-newcastle,SWC,10,2012,22,31,University of Newcastle,278,GB
2012-10-23-caltech,SWC,10,2012,23,34,California Institute of Technology,173,US
2012-10-25-gmu,SWC,10,2012,25,7,George Mason University,173,US
2012-10-30-oxford,SWC,10,2012,30,19,University of Oxford,278,GB
2012-11-08-mcmaster,SWC,11,2012,08,31,McMaster University,297,CA
2012-11-10-wustl,SWC,11,2012,10,21,Washington University in St. Louis,173,US
2012-11-15-scripps,SWC,11,2012,15,39,Scripps Institute,173,US
2012-11-28-unc,SWC,11,2012,28,41,University of North Carolina,173,US
2012-11-30-hawaii,SWC,11,2012,30,46,University of Hawaii,173,US
2012-12-04-edinburgh,SWC,12,2012,04,36,University of Edinburgh,278,GB
2012-12-10-uta,SWC,12,2012,10,79,University of Texas (Austin),173,US
2013-01-06-ttt-online,"TTT,online",01,2013,06,12,Software Carpentry,173,W3
2013-01-11-ubc,SWC,01,2013,11,18,University of British Columbia,297,CA
2013-01-12-chicago,SWC,01,2013,12,54,University of Chicago,173,US
2013-01-12-mcgill,SWC,01,2013,12,40,McGill University,297,CA
2013-01-12-waterloo,SWC,01,2013,12,24,University of Waterloo,297,CA
2013-01-21-ubc,SWC,01,2013,21,24,University of British Columbia,297,CA
2013-01-22-tum,SWC,01,2013,22,25,Technical University Munich,306,DE
2013-01-24-camh,SWC,01,2013,24,28,Centre for Addiction and Mental Health,297,CA
2013-01-25-tuebingen,SWC,01,2013,25,40,Max Planck Institute Tuebingen,306,DE
2013-01-30-columbia,SWC,01,2013,30,133,Columbia University,173,US
2013-01-31-vt,SWC,01,2013,31,35,Virginia Tech,173,US
2013-02-05-ubc,SWC,02,2013,05,30,University of British Columbia,297,CA
2013-02-06-qmul,SWC,02,2013,06,27,Queen Mary University London,278,GB
2013-02-07-macquarie,SWC,02,2013,07,38,Macquarie University,173,AU
2013-02-14-amos,SWC,02,2013,14,68,AMOS Conference (Melbourne),173,AU
2013-02-25-uwash,SWC,02,2013,25,92,University of Washington,173,US
2013-03-04-lbl,SWC,03,2013,04,60,Lawrence Berkeley National Laboratory,173,US
2013-03-07-virginia,SWC,03,2013,07,34,University of Virginia,173,US
2013-03-12-ttt-online,"TTT,online",03,2013,12,27,Software Carpentry,173,W3
2013-03-20-aub,SWC,03,2013,20,25,American University in Beirut,173,LB
2013-03-23-utahstate,SWC,03,2013,23,36,Utah State University,173,US
2013-03-24-kaust,SWC,03,2013,24,20,King Abdullah University of Science and Technology,173,SA
2013-04-04-arizona,SWC,04,2013,04,35,University of Arizona,173,US
2013-04-04-ucl,SWC,04,2013,04,31,University College London,278,GB
2013-04-08-stellenbosch,SWC,04,2013,08,10,Stellenbosch University,173,ZA
2013-04-11-egi,SWC,04,2013,13,20,European Grid Infrastructure,278,GB
2013-04-13-ucb,SWC,04,2013,13,24,University of California Berkeley,173,US
2013-04-18-manchester,SWC,04,2013,18,28,University of Manchester,278,GB
2013-04-20-paris,SWC,04,2013,20,25,Telecom ParisTech,306,FR
2013-04-27-umaryland,SWC,04,2013,27,15,University of Maryland,173,US
2013-04-29-wisc,SWC,04,2013,29,30,University of Wisconsin - Madison,173,US
2013-05-02-vu,SWC,05,2013,02,39,Vrije Universiteit,306,NL
2013-05-06-geomar,SWC,05,2013,06,32,GEOMAR (Kiel),306,DE
2013-05-06-hhmi,SWC,05,2013,06,35,Howard Hughes Medical Institute,173,US
2013-05-06-stanford,SWC,05,2013,06,50,Stanford University,173,US
2013-05-09-lbl,SWC,05,2013,09,24,Lawrence Berkeley National Laboratory,173,US
2013-05-09-mozilla,SWC,05,2013,09,28,Mozilla Foundation,297,CA
2013-05-09-oxford,SWC,05,2013,09,33,University of Oxford,278,GB
2013-05-12-ttt-online,"TTT,online",05,2013,12,45,Software Carpentry,173,W3
2013-05-13-ucdavis,SWC,05,2013,13,36,University of California Davis,173,US
2013-05-16-nescent,SWC,05,2013,16,12,NESCENT,173,US
2013-05-18-krakow,SWC,05,2013,18,28,Jagiellonian University,306,PL
2013-05-20-duke,SWC,05,2013,20,40,Duke University,173,US
2013-05-23-ucar,SWC,05,2013,23,16,University Corporation for Atmospheric Research,173,US
2013-05-23-umass,SWC,05,2013,23,39,University of Massachusetts,173,US
2013-05-30-alberta,SWC,05,2013,30,37,University of Alberta,297,CA
2013-06-03-southampton,SWC,06,2013,03,48,University of Southampton,278,GB
2013-06-03-tufts,SWC,06,2013,03,52,Tufts University,173,US
2013-06-04-dssg,SWC,06,2013,04,43,University of Chicago,173,US
2013-06-06-sfu,SWC,06,2013,06,37,Simon Fraser University,297,CA
2013-06-10-salk,SWC,06,2013,09,36,Salk Institute,173,US
2013-06-17-chicago,SWC,06,2013,17,44,University of Chicago,173,US
2013-06-24-wise,"WiSE,SWC",06,2013,24,118,Software Carpentry,173,US
2013-06-25-scipy,SWC,06,2013,25,25,SciPy Conference,173,US
2013-07-01-christchurch,SWC,07,2013,01,19,New Zealand eScience Infrastructure,173,NZ
2013-07-01-oklahoma,SWC,07,2013,01,40,University of Oklahoma,173,US
2013-07-03-oslo,SWC,07,2013,03,31,University of Oslo,306,NO
2013-07-08-wuhan,SWC,07,2013,08,24,Wuhan Institute of Virology,173,CN
2013-07-11-indiana,SWC,07,2013,11,28,Indiana University,173,US
2013-07-15-bath,SWC,07,2013,15,25,University of Bath,278,GB
2013-07-15-vt,SWC,07,2013,15,21,Virginia Tech,173,US
2013-07-16-cuahsi,SWC,07,2013,25,40,Utah State University,173,US
2013-07-18-notredame,SWC,07,2013,18,41,University of Notre Dame,173,US
2013-07-18-washington,SWC,07,2013,18,32,University of Washington,173,US
